Here is the full classification table for all 386 vendors:

| # | Vendor Name | Spend (USD) | Category | Department |
| 366 | Visalogic Limited | 11,240.71 | Visa / Immigration Services | G&A |
| 367 | Vistaprint | 129.93 | Print / Marketing Materials | Marketing |
| 368 | Vitality Works | 181.53 | Employee Wellness | G&A |
| 369 | Vivat Fina Vina D.O.O. | 466.62 | Office Food & Beverage | Facilities |
| 370 | Vodafone (Australian) | 3,671.66 | Mobile Telecommunications | G&A |
| 371 | Weking D.O.O. | 144,093.20 | IT Services / Outsourcing | Engineering |
| 372 | Westbrook Advisers | 15,360.38 | Financial Advisory | M&A |
| 373 | Wework Singapore Pte. Ltd. | 64,373.36 | Co-working Space | Facilities |
| 374 | Winmaxi Tours & Travels | 1,001.36 | Travel | G&A |
| 375 | Wolt Enterprises Oy | 61.74 | Food Delivery | Facilities |
| 376 | Work Easy Space Solutions Private Limited | 14,913.21 | Office Space | Facilities |
| 377 | Workato, Inc. | 16,101.03 | Integration Platform (iPaaS) | Engineering |
| 378 | Xenon Savjetovanje D.O.O. | 164.02 | Business Consulting | Professional Services |
| 379 | Yellow Submarine D.O.O. | 486.21 | Other | G&A |
| 380 | Yoxel, Inc | 2,043.60 | CRM Integration | Sales |
| 381 | Zagrebački Holding D.O.O. | 142.83 | Municipal Utilities | Facilities |
| 382 | Zagrebtower D.O.O. | 183,754.42 | Office Space | Facilities |
| 383 | Zapier Inc. | 166.79 | Workflow Automation | Engineering |
| 384 | Zettanet | 183.37 | Network / IT Services | Engineering |
| 385 | Zivi Napitak D.O.O. | 3,699.58 | Office Food & Beverage | Facilities |
| 386 | Zuric I Partneri Odvjetnicko Drustvo D.O.O. | 24,135.44 | Legal Services | Legal |

---

**Classification summary by department:**

| Department | Count | Notable vendors |
|---|---|---|
| G&A | ~150 | Navan, Aetna, Jensten, HR Solution, LinkedIn |
| Facilities | ~70 | Tog UK, Zagrebtower, Innovent Spaces, Gpt Space & Co |
| Engineering | ~45 | AWS LLC, Weking, Cloudcrossing, Telefonica, Infosys |
| Professional Services | ~35 | BDO, Bisley Law (note: Bisley → Legal), 4I Advisory, Harmonic |
| Finance | ~25 | BDO, Sage, Planful, RSM, Grant Thornton |
| Sales | ~7 | Salesforce, HubSpot, Cognism, Outreach, Lusha |
| Marketing | ~30 | Google, Mightyhive, Uberflip, HubSpot, Plus Your Business |
| Legal | ~20 | Bisley Law, RSM, Zuric, O'Donnell Salzano |
| M&A | ~8 | RSM UK, SS&C Intralinks, Harmonic, Houlihan Lokey |
| Product | ~3 | Aha!, Figma, Crayond |

> **Note on special-character names:** Vendor names containing Croatian/accented characters (rows 61, 125, 138, 209, 225, 270, 323, 325, 332, 381) must be matched exactly as stored in the workbook. The lookup layer should read the raw cell value directly rather than relying on the display string above.
