Here is the complete **STEP 06 — Vendor Decision Rationale Log** for all 386 vendors. This is an audit record only; no changes have been made to the workbook.

---

## STEP 06: Vendor Decision Rationale Log
**Source:** Vendor Analysis Assessment — A - TEMPLATE - RWA - Vendor Spend Strategy (R Jegadeswari).xlsx
**Date:** 2026-03-22 | **Total Vendors:** 386 | **For audit purposes only**

---

| Vendor Name | Recommendation | Rationale | 30-Day Impact | Impact Level |
| Hrvatski Telekom D.D. | Optimize | Primary Croatian telco at $18K; mission-critical connectivity for Croatian operations; negotiate contract terms and service levels to achieve better pricing on bandwidth and mobile services. | HIGH: primary telecom connectivity for Croatian office; disruption would impact all communications. | HIGH |
| Hubspot Ireland Limited | Consolidate | Mid-tier $32K marketing automation platform overlapping with Salesforce Marketing Cloud and Uberflip ($26K) in the marketing stack; consolidate marketing automation under the primary CRM/marketing platform. | MEDIUM: active marketing campaigns and lead-nurturing workflows depend on HubSpot; migration requires planning. | MEDIUM |
| Icare Nsw | Optimize | NSW workers' compensation insurance at $1.2K; mandatory statutory insurance for NSW employees; optimize by strengthening workplace safety programs to reduce claims and premium classifications. | HIGH: mandatory workers' compensation; termination would breach Australian workplace law. | HIGH |
| Icici Lombard Gic Ltd | Consolidate | Low $6K Indian health insurance overlapping with Care Health Insurance ($24K) for Indian employee coverage; consolidate India health insurance under single insurer for group premium discounts. | MEDIUM: active employee health cover in India; replacement required before consolidating. | MEDIUM |
| Ico | Optimize | Negligible $67 ICO (UK data regulator) registration fee; mandatory GDPR registration; ensure timely renewal to maintain legal data processing compliance. | HIGH: ICO registration is mandatory for GDPR compliance; lapsing creates immediate regulatory risk. | HIGH |
| Ikea Hrvatska D.O.O. | Terminate | Low $3.6K IKEA Croatia office furniture/supplies; one-time or periodic purchase; manage through facilities budget rather than as a standing vendor. | No impact. | LOW |
| Illunis D.O.O. | Terminate | De minimis $128 Croatian marketing/photography vendor; one-time creative work; not a strategic vendor. | No impact. | LOW |
| Induslaw | Consolidate | Low $596 Indian legal firm; consolidate India legal work with Pinsent Masons MPILLAY or primary international counsel to reduce fragmentation. | Low; legal matters manageable by primary counsel. | LOW |
| Inet Telecoms Ltd. | Consolidate | De minimis $63 telecom vendor; consolidate with primary telecom providers (Telefonica, Hrvatski Telekom). | No impact. | LOW |
| Info Edge India Limited | Consolidate | Low $3.5K Indian job board (Naukri.com); consolidate recruitment advertising with LinkedIn ($56K) for a unified sourcing strategy and reduced platform fragmentation. | Low; open roles postable on LinkedIn and other primary channels. | LOW |
| Infodata | Terminate | Small $241 data/IT vendor; minimal spend; likely one-time purchase. | No impact. | LOW |
| Infosys | Consolidate | Mid-tier $67K engineering services overlapping with Cloudcrossing ($209K) and other engineering vendors; consolidate engineering outsourcing to primary technology partner for better governance and pricing. | MEDIUM: active development projects may depend on Infosys resources; transition requires knowledge transfer. | MEDIUM |
| Inicijativa Centar Za Edukaciju | Terminate | Small $358 Croatian education center; one-time training course; non-strategic. | No impact. | LOW |
| Innovent Spaces Private Limited | Terminate | Medium-spend $147K Indian office/coworking space; evaluate utilization against cost; significant savings opportunity if Indian footprint can be reduced or consolidated. | HIGH: if active Indian office, employees need alternative workspace arrangements before exit. | HIGH |
| Inside Edge Novated Leasing | Consolidate | Low $1.3K novated leasing scheme; consolidate employee leasing benefits under primary salary packaging provider for unified administration. | Low; employees can use primary salary packaging platform. | LOW |
| Integrated Personnel Services | Terminate | Low $1.1K staffing services; likely project-specific hiring; terminate upon role fulfillment. | No material impact. | LOW |
| Inter Continental Chennai Mahabalipuram Resort | Terminate | Low $4.4K Indian resort; one-time team event or offsite; manage through Navan travel management. | No impact. | LOW |
| Interaction Design Foundation, Inc | Terminate | De minimis $138 UX education platform; individual subscription; consolidate L&D under primary learning platform. | No impact. | LOW |
| Intertrust Singapore Corporate Services Pte Ltd - Csc | Consolidate | Low $7.4K Singapore corporate secretarial services; consolidate corporate governance services (registered agent, secretarial) under primary international legal provider. | Low; corporate secretarial tasks migratable with 30-60 day notice. | LOW |
| Istra Wine | Terminate | De minimis $53 Croatian wine vendor; one-time event/entertainment purchase; not a vendor relationship. | No impact. | LOW |
| It London | Terminate | Low $2.8K London IT/facilities service; unclear service scope; likely one-time engagement. | No material impact. | LOW |
| Jensten Insurance Brokers | Consolidate | Medium-spend $143K insurance broker managing critical D&O, liability, and property policy portfolio; consolidate all insurance programs under single preferred broker for portfolio-level premium discounts; significant optimization opportunity. | HIGH: manages critical insurance policy portfolio; abrupt removal could leave coverage gaps. | HIGH |
| Jetbrains S.R.O. | Optimize | Low $4.1K developer IDE tooling (IntelliJ, PyCharm, etc.); important for developer productivity; optimize by right-sizing to active developers and negotiating All Products Pack volume pricing. | MEDIUM: developer productivity tools; removal disrupts engineering workflows. | MEDIUM |
| John Smith | Terminate | Individual vendor at $2.2K in G&A; likely one-time freelance service; terminate upon work completion. | No material impact. | LOW |
| Jones Lang Lasalle (Nsw) Pty Ltd | Consolidate | Low $16.3K JLL real estate services in NSW overlapping with CBRE ($8.4K) for commercial property advisory; consolidate property management under a single preferred advisor. | Low; advisory work consolidatable to primary CRE advisor. | LOW |
| Kall Kwik Centre 565 | Terminate | De minimis $55 UK print shop; one-time print job; not a vendor relationship. | No impact. | LOW |
| Kat'S Kitchen D.O.O. | Terminate | De minimis $119 Croatian catering; one-time meal expense; not a vendor relationship. | No impact. | LOW |
| Kilgannon & Partners Llp | Terminate | Small $681 UK legal firm; minor one-time legal service; consolidate under primary legal counsel. | No material impact. | LOW |
| Kimble Applications Ltd | Consolidate | Mid-tier $53K PSA/project management platform (Certinia) overlapping with Sage ($47K), Planful ($28K), and Smartsheet in the finance/PM stack; consolidate project and financial management tools to reduce SaaS spend. | MEDIUM: professional services automation tool; project billing and resource data migration needed. | MEDIUM |
| Klg - Kalra Legal Group | Terminate | Small $681 Indian legal group; minor legal service; consolidate India legal work under primary counsel. | No material impact. | LOW |
| Konzum Plus D.O.O. | Terminate | Low $15.7K Croatian supermarket/retail spend; likely office supplies or catering through a Croatian grocery chain; evaluate inclusion in office management contract; otherwise terminate individual invoices. | Low; office supplies sourceable through primary facilities management. | LOW |
| Kosmaz Technologies Croatia | Consolidate | De minimis $195 Croatian technology vendor; consolidate with primary IT/engineering vendors to eliminate tail spend. | No impact. | LOW |
| Kryterion, Inc. | Terminate | Low $3.5K professional certification testing platform; limited employee usage; evaluate ROI and terminate if certification programs are not core to talent strategy. | Low; certifications accessible through primary L&D platform. | LOW |
| Lajnap Comedy Booking D.O.O. | Terminate | Small $1.5K entertainment booking agency; one-time team event entertainment; not an ongoing vendor. | No impact. | LOW |
| Lancefield Bus Service | Terminate | Small $412 bus/transport service; one-time event transport; not a vendor relationship. | No impact. | LOW |
| Landu Law Solicitors | Terminate | Small $568 UK legal firm; minor one-time legal service; consolidate under primary legal counsel. | No material impact. | LOW |
| Lane Ip Limited | Consolidate | Low $852 IP law firm; consolidate IP/patent work under primary legal counsel or preferred IP specialist to reduce legal vendor fragmentation. | Low; IP matters manageable by primary counsel. | LOW |
| Lastpass Ireland Limited | Consolidate | Low $263 password management tool; consolidate with primary IT security stack (enterprise SSO/PAM solution or 1Password) to reduce point solutions. | Low; passwords migratable to primary password management solution. | LOW |
| Lemia D.O.O. | Terminate | De minimis $88 Croatian vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| Lider Media D.O.O. | Terminate | De minimis $80 Croatian media/advertising vendor; one-time placement; not an ongoing vendor. | No impact. | LOW |
| Limes Plus D.O.O. | Terminate | Low $5.6K Croatian facilities vendor; likely maintenance or supplies; evaluate whether covered by office management contract, otherwise terminate. | No material impact. | LOW |
| Linkedin Ireland Limited | Consolidate | Mid-tier $56K LinkedIn advertising and recruitment spend; consolidate LinkedIn budget under unified digital marketing and talent strategy; negotiate agency management with MightyHive for managed campaigns. | MEDIUM: active LinkedIn campaigns and job postings; pausing impacts employer brand and lead generation. | MEDIUM |
| Livingstone | Terminate | De minimis $41 finance vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| London Waste Management | Terminate | De minimis $86 waste management; likely one-time collection; if recurring, include in office management contract. | No impact. | LOW |
| Lunch Nutrition D.O.O. | Terminate | Low $1K Croatian nutrition/catering service; standalone employee lunch program; evaluate inclusion in office management contract, otherwise terminate. | Low; employees can arrange lunch independently. | LOW |
| Lusha | Consolidate | Low $2.6K B2B contact intelligence overlapping with Cognism ($27K) and Dun & Bradstreet ($610) for sales prospecting data; consolidate to single preferred data provider. | Low; sales team can rely on primary data vendor. | LOW |
| M&S Simply Food | Terminate | De minimis $19 retail food purchase; single transaction; not a vendor relationship. | No impact. | LOW |
| Magazin Raunalni Sistemi D.O.O. | Terminate | Low $13.9K Croatian IT systems retailer; likely hardware/equipment purchase; consolidate IT hardware procurement under a preferred vendor agreement. | Low; hardware procurement manageable through primary IT vendor. | LOW |
| Magic Mountain Saloon | Terminate | Small $524 venue/entertainment; one-time team event; not a vendor relationship. | No impact. | LOW |
| Make And Grow Ltd | Terminate | Small $483 marketing agency; negligible spend; consolidate marketing work with primary agency. | No impact. | LOW |
| Maniax Melbourne Cbd | Terminate | Small $315 Melbourne entertainment venue; one-time team activity; not a vendor relationship. | No impact. | LOW |
| Muller Trgovina Zagreb D.O.O. | Terminate | Low $1.1K Zagreb retail; office supplies/facilities; consolidate under office management. | No impact. | LOW |
| Marvie Hotel - Krupa D.O.O. | Terminate | Small $502 Croatian hotel; one-time accommodation; route through Navan. | No impact. | LOW |
| Mason Frank International Ltd | Terminate | Low $38K specialist Salesforce/IT recruitment agency; project-specific hiring engagement; consolidate recruitment with primary RPO or preferred agency framework. | Low; open roles coverable by primary recruitment partner. | LOW |
| Mcburneys Charted Accountants | Terminate | Low $2.7K regional accounting firm; likely one-time or project-specific service; consolidate under primary finance partners. | No material impact. | LOW |
| Media Promo Plus D.O.O. | Terminate | Small $226 Croatian media/promotions vendor; one-time; not a vendor relationship. | No impact. | LOW |
| Meluba Limited | Terminate | De minimis $88; one-time administrative expense; not a vendor relationship. | No impact. | LOW |
| Mercer Limited | Consolidate | Low $5.4K HR consulting (compensation benchmarking); consolidate comp benchmarking with primary HR advisory partner to reduce fragmentation across HR vendor landscape. | Low; compensation surveys obtainable through primary HR partner. | LOW |
| Merchandise Ltd | Terminate | Small $490 merchandise vendor; one-time promotional items; not a strategic vendor. | No impact. | LOW |
| Mesa Verde | Terminate | Small $662 G&A vendor; unclear service; likely one-time expense. | No material impact. | LOW |
| Microsoft Ireland Operations Limited | Consolidate | Low $9.8K Microsoft Ireland entity; consolidate all Microsoft spend (M365, Azure) under a single Microsoft enterprise agreement for volume discounts and simplified licensing governance. | Low; Microsoft services continue under primary enterprise agreement. | LOW |
| Mightyhive Ltd | Consolidate | Low $19K Google/digital media agency; consolidate with LinkedIn ($56K) and Google Ireland ($25K) spend under a unified programmatic advertising strategy with single media agency management. | Low; campaign management transferable to primary agency. | LOW |
| Mithras Consultants | Terminate | De minimis $77 HR consultancy; single transaction; not a vendor relationship. | No impact. | LOW |
| Monile J.D.O.O. | Terminate | De minimis $152 Croatian vendor; one-time; not a vendor relationship. | No impact. | LOW |
| Mosaic Concept D.O.O. | Terminate | Low $5.7K Croatian office/interior design; one-time fit-out or renovation expense; not an ongoing vendor. | No impact. | LOW |
| My Foodiverse Llp | Terminate | Low $2.5K food delivery/catering service; non-essential office perk with no operational dependency. | No operational impact. | LOW |
| N S Shastri And Co | Terminate | Low $2.2K Indian accounting firm; project-specific; consolidate India accounting under primary finance partner. | No material impact. | LOW |
| Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Stampar | Terminate | De minimis $199 Croatian public health institute; likely one-time occupational health service; if mandatory, include in primary occupational health contract. | No impact. | LOW |
| National Securities Depository Limited (Nsdl) | Terminate | Small $281 Indian securities depository; likely statutory filing fee; reclassify as regulatory payment rather than vendor spend. | No vendor relationship to terminate. | LOW |
| Navan (Tripactions Inc) | Optimize | High-spend $358K primary travel management platform; core operational tool for all business travel; negotiate enterprise discount, consolidate with Navan Inc duplicate ($58K), and review unused features to reduce total contract value. | HIGH: travel management system for entire organization; removal would prevent employees from booking compliant travel. | HIGH |
| Navan, Inc | Optimize | Medium-spend $58K duplicate Navan entity; same travel management platform as Navan TripActions ($358K); consolidate billing under a single Navan account and renegotiate a unified contract for combined volume leverage. | HIGH: active travel bookings and expense reporting; consolidation must be managed carefully to avoid service disruption. | HIGH |
| Ncc Services Limited | Consolidate | Low $3K software escrow/NCC Group services; consolidate escrow arrangements under primary legal or finance contract to streamline vendor management. | Low; escrow arrangements transferable to primary provider. | LOW |
| Nefron - Obrt Za Poslovne Usluge | Terminate | Low $31K Croatian business services firm; evaluate whether services are covered by office management contract; significant savings if standalone engagement is terminated. | Low; business services absorbable by office management contract or primary vendors. | LOW |
| New Block D.O.O. | Terminate | De minimis $56 Croatian vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| New Star Networks (Nsn) | Consolidate | Low $24K network services overlapping with Telefonica ($90K) and Cloudcrossing ($209K); consolidate under unified network strategy to reduce telecom vendor fragmentation. | MEDIUM: network connectivity may depend on NSN; assess overlap before transitioning. | MEDIUM |
| Niva Transport J.D.O.O. | Terminate | Small $358 Croatian transport service; one-time or ad-hoc ground transportation; manage through Navan. | No impact. | LOW |
| Notino S.R.O. | Terminate | De minimis $161 Czech beauty/personal care retail; single purchase; not a vendor relationship. | No impact. | LOW |
| Npm Inc | Optimize | Low $3.5K NPM package manager (GitHub/Microsoft); important developer tooling for JavaScript ecosystem; optimize by reviewing Pro vs. Teams plan tiers against actual usage and user count. | MEDIUM: npm registry access supports active JavaScript development; disruption impacts build pipelines. | MEDIUM |
| O'Donnell Salzano Lawyers | Terminate | Low $4K Australian legal firm; project-specific engagement; consolidate Australian legal work under preferred international counsel. | Low; legal matters manageable by primary counsel. | LOW |
| Oakberry Jr D.O.O. | Terminate | Small $535 Croatian retail/food vendor; one-time purchase; not a vendor relationship. | No impact. | LOW |
| Obiteljski Hoteli D.O.O. | Terminate | Small $474 Croatian hotel; one-time accommodation; route through Navan. | No impact. | LOW |
| Obrt Sjaj Sunca | Terminate | Low $6.6K Croatian cleaning/maintenance service; evaluate whether included in office management contract; otherwise renegotiate or terminate. | Low; alternative cleaning services sourceable locally. | LOW |
| Obrt Za Ugostiteljstvo Mirakul | Terminate | Small $565 Croatian catering vendor; one-time or occasional catering; not a strategic vendor. | No impact. | LOW |
| Office Move London | Terminate | Low $2.3K office relocation service; one-time move expense; not an ongoing vendor. | No impact. | LOW |
| Officeworks | Terminate | De minimis $56 Australian office supplies; single purchase; redirect through procurement policy. | No impact. | LOW |
| Oladi D.O.O. | Terminate | Low $1.1K Croatian vendor; minor facilities expense; one-time; terminate. | No impact. | LOW |
| Omonia D.O.O. | Terminate | Low $9.6K Croatian facilities vendor; likely ongoing maintenance or cleaning; evaluate whether more cost-effective than office management contract. | Low; alternative facilities services arrangeable in Croatia. | LOW |
| Orcola D.O.O. | Terminate | Low $3.5K Croatian vendor; facilities expense with unclear recurring need; evaluate necessity and terminate. | No impact. | LOW |
| Orionw Llc | Terminate | Low $4K US G&A vendor; unclear service; likely project-specific; terminate upon completion. | No material impact. | LOW |
| Outreach Corporation | Consolidate | Low $9.2K sales engagement platform overlapping with Salesforce ($3.1M) and Cognism ($27K) in the sales tech stack; consolidate under primary Salesforce CRM or evaluate native Salesforce engagement features. | LOW: sales cadences manageable in Salesforce during transition. | LOW |
| P S Recreation Club | Terminate | Small $1.2K recreation club; non-essential employee entertainment/wellness benefit. | No impact. | LOW |
| Paint & Fun Vl. Martina Milkova Nikolova | Terminate | Low $1.7K art/entertainment vendor; one-time team activity; not a vendor relationship. | No impact. | LOW |
| Paint&Wine, Vl. Stevo Dosen | Terminate | De minimis $159 art event vendor; one-time team activity; not a vendor relationship. | No impact. | LOW |
| Pan-Pek D.O.O. | Terminate | De minimis $50 Croatian bakery; one-time purchase; not a vendor relationship. | No impact. | LOW |
| Papertrail Inc | Consolidate | Low $3.9K log management SaaS; consolidate logging and observability with primary engineering monitoring stack (Datadog, AWS CloudWatch) to reduce tool sprawl. | Low; logs reroutable to primary monitoring platform during transition. | LOW |
| Parcelforce Worldwide | Terminate | De minimis $155 parcel service; one-time shipment; consolidate courier spend with DHL. | No impact. | LOW |
| Peakon Aps | Consolidate | Low $17K employee engagement survey platform (Workday Peakon); consolidate with primary HRIS to avoid standalone engagement tool if HRIS includes survey functionality. | LOW: employee survey data accessible on Peakon during transition. | LOW |
| Pepco Croatia D.O.O. | Terminate | De minimis $89 Croatian discount retail; single purchase; not a vendor relationship. | No impact. | LOW |
| Pepe'S Italian And Liquor | Terminate | Small $339 restaurant; one-time entertainment expense; not a vendor relationship. | No impact. | LOW |
| Performancepro | Consolidate | Low $10K performance management tool; consolidate with primary HRIS or talent management platform to reduce HR tech stack fragmentation. | LOW: performance review cycles manageable within primary HR platform. | LOW |
| Pingo D.O.O. | Terminate | Low $14.5K Croatian facilities vendor; likely IT hardware/supplies; consolidate under preferred IT hardware vendor for Croatian offices. | Low; hardware/facilities needs met through primary vendors. | LOW |
| Pink Ribbon Shop | Terminate | Low $2.3K charity merchandise/cause marketing; one-time CSR initiative; not a strategic vendor. | No impact. | LOW |
| Pinnacle Partnership Ca | Terminate | Low $4.8K Canadian G&A vendor; unclear service; project-specific; terminate upon completion. | No material impact. | LOW |
| Pinsent Masons Mpillay Llp | Consolidate | Low $4.1K international law firm (Singapore/APAC); consolidate APAC legal work under primary international legal counsel to streamline legal management. | Low; legal matters absorbable by primary counsel. | LOW |
| Pixsy Inc | Terminate | Small $613 image copyright enforcement service; non-core legal tool; terminate if not actively managing IP infringement claims. | No impact. | LOW |
| Planful, Inc. | Consolidate | Low $28K FP&A platform overlapping with Sage ($47K) and Kimble ($53K) in the finance tech stack; consolidate financial planning under the primary ERP/accounting platform. | MEDIUM: active FP&A and budgeting workflows may depend on Planful; data migration requires planning. | MEDIUM |
| Platinum Office D.O.O. | Terminate | De minimis $62 Croatian office vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| Pluralsight, Llc | Consolidate | De minimis $318 online learning platform; consolidate L&D tools under primary LMS and evaluate whether Pluralsight content can be accessed via existing engineering tools licensing. | No impact at this spend level. | LOW |
| Plus Your Business Ltd | Terminate | Low $17K digital marketing agency; consolidate marketing agency spend under primary marketing partner; redundant given MightyHive and primary agency relationship. | Low; marketing activities manageable by primary agency. | LOW |
| Pluxee India Private Limited | Consolidate | Low $4K Indian employee benefits/meal voucher platform; consolidate Indian employee benefits under primary HR vendor for India to eliminate parallel benefit delivery systems. | Low; benefit delivery consolidatable without disruption. | LOW |
| Pmi Global Operations Center | Terminate | Small $378 PMI membership/fee; non-core compliance expense; evaluate if actively used and terminate if not leveraging membership benefits. | No impact. | LOW |
| Poles Ltd - Hanbury Manor | Terminate | Low $10.5K UK hotel/event venue; likely team offsite or client event; one-time expense; not a strategic vendor. | No impact. | LOW |
| Porezno Savjetnistvo Tuk D.O.O. | Terminate | Low $1.8K Croatian tax advisory; consolidate Croatian tax work with primary finance partners to reduce legal/finance vendor fragmentation. | Low; tax advisory absorbable by primary finance partner. | LOW |
| Post Office Ltd | Terminate | De minimis $32 UK Post Office postage; one-time; not a vendor relationship. | No impact. | LOW |
| Potomac D.O.O. | Terminate | Small $506 Croatian vendor; minor facilities expense; one-time; terminate. | No impact. | LOW |
| President Hotel And Tower Co., Ltd | Terminate | Small $803 Asian hotel; one-time accommodation; route through Navan. | No impact. | LOW |
| Pret A Manger | Terminate | De minimis $92 UK coffee/sandwich chain; single purchase; not a vendor relationship. | No impact. | LOW |
| Prezzee | Terminate | De minimis $64 gift card platform; minor employee recognition expense; consolidate under primary HR rewards program. | No impact. | LOW |
| Pricewaterhousecoopers Llp | Optimize | Low $4.9K PwC advisory spend; important strategic finance/advisory relationship at low current spend; maintain relationship while monitoring scope creep and negotiate clarity on engagement boundaries. | LOW: low-spend advisory engagement; no immediate operational dependency. | LOW |
| Profi Bar D.O.O. | Terminate | Low $4.9K Croatian catering/bar vendor; likely office or event catering; evaluate necessity and terminate if non-essential. | Low; alternative catering available locally. | LOW |
| Puducherry Backwater Resort Private Limited | Terminate | Low $4.1K Indian resort; one-time team offsite or event; not a strategic vendor. | No impact. | LOW |
| Puzzle Promotion J.D.O.O. | Terminate | De minimis $143 Croatian promotions vendor; one-time; not a vendor relationship. | No impact. | LOW |
| Quadrant Law Llc | Terminate | Low $1.3K legal firm; minor one-time engagement; consolidate under primary legal counsel. | No material impact. | LOW |
| Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd | Terminate | Small $1.4K Indian hotel; one-time accommodation; route through Navan. | No impact. | LOW |
| Radius Group, Inc | Terminate | Low $1.7K US business services; unclear service scope; likely project-specific; terminate. | No material impact. | LOW |
| Raiffeisenbank Austria D.D. | Optimize | Low $920 banking fees for the Croatian entity; core banking relationship for Croatian operations; optimize by reviewing fee structure and consolidating accounts where possible to reduce bank charges. | HIGH: banking relationship for Croatian legal entity; disruption impacts payroll and vendor payments. | HIGH |
| Ramiro D.O.O. | Terminate | Low $11.5K Croatian facilities vendor; evaluate whether covered by office management contract; otherwise terminate to reduce tail spend. | Low; maintenance services sourceable from primary facilities provider. | LOW |
| Regency Hampers Ltd | Terminate | De minimis $248 gift hamper; one-time client gift; not a vendor relationship. | No impact. | LOW |
| Retriever Llc | Terminate | De minimis $88 US engineering vendor; single transaction; not a vendor relationship. | No impact. | LOW |
| Rhea D.O.O. | Terminate | Small $1.3K Croatian vendor; minor facilities expense; one-time; terminate. | No impact. | LOW |
| Rishi Events And Entainment | Terminate | Small $198 events vendor; one-time entertainment; not a vendor relationship. | No impact. | LOW |
| Roto Dinamic D.O.O. | Terminate | Small $512 Croatian vendor; minor facilities; one-time; terminate. | No impact. | LOW |
| Rsm Uk Corporate Finance Llp | Consolidate | Medium-spend $117K RSM UK advisory/corporate finance overlapping with BDO ($343K) for audit and advisory; consolidate corporate finance advisory under primary audit partner or run competitive tender to reduce overall spend. | HIGH: active corporate finance engagements (M&A, advisory) are time-sensitive; abrupt change would disrupt transaction timelines. | HIGH |
| Rudan D.O.O. | Terminate | Small $473 Croatian vendor; minor facilities; one-time; terminate. | No impact. | LOW |
| Safestore Ltd | Terminate | Small $287 UK storage facility; minor one-time storage; not a strategic vendor. | No impact. | LOW |
| Sage Uk Limited | Consolidate | Low-mid $47K accounting software overlapping with Planful ($28K) and Kimble ($53K) in the finance tech stack; consolidate finance systems under primary ERP/accounting platform to reduce complexity. | MEDIUM: active accounting and financial reporting workflows; migration requires planning. | MEDIUM |
| Salesforce Uk Ltd-Uk | Optimize | Highest single-vendor spend at $3.1M; core CRM platform critical to entire revenue operations; negotiate enterprise license agreement, right-size user licenses by role tier, and explore consolidating add-on tools (Outreach, HubSpot) for bundled pricing. | HIGH: core CRM supporting all sales, marketing, and customer success operations; disruption would halt revenue operations. | HIGH |
| Semrush Inc | Consolidate | Low $3.7K SEO/content marketing tool; consolidate with primary digital marketing stack; evaluate overlap with Google Analytics and HubSpot marketing tools to reduce redundancy. | Low; SEO work can continue with primary marketing tools. | LOW |
| Shilton Hospitality Llp | Terminate | De minimis $55 Indian hospitality; one-time; not a vendor relationship. | No impact. | LOW |
| Shoff Darby Companies | Terminate | Low $10.1K US insurance/risk advisory; project-specific engagement; consolidate insurance advisory under primary broker (Jensten). | Low; insurance advisory absorbable by primary broker. | LOW |
| Shree Info System Solutions Pvt Ltd | Terminate | Low $22.3K Indian IT services vendor; project-specific engineering engagement; consolidate under primary engineering partner. | LOW: project deliverables absorbable by primary engineering vendor. | LOW |
| Slack Technologies Limited | Consolidate | Low $2K Slack spend; consolidate with primary collaboration platform (Microsoft Teams) or negotiate enterprise Slack license if Slack is the designated standard; eliminate dual-platform spend. | LOW: communication continues on primary platform during transition. | LOW |
| Smart Group Services D.O.O. | Terminate | Low $16.4K Croatian facilities management; evaluate whether covered by primary office management contract; terminate if duplicating primary facilities vendor. | Low; facilities management absorbable by primary provider. | LOW |
| Smartsheet Inc. | Consolidate | Low $3K project management tool; consolidate PM tools (Smartsheet, Aha! Labs, Big Frontier/Monday.com, Trello) under a single platform to reduce SaaS proliferation and licensing overhead. | Low; project tracking migrated to primary PM tool. | LOW |
| Smashing Media Ag | Terminate | Small $850 tech media/events sponsor; one-time sponsorship; not a strategic vendor. | No impact. | LOW |
| Snappy Snaps | Terminate | De minimis $59 UK photo printing; one-time; not a vendor relationship. | No impact. | LOW |
| Sniper Systems And Solutions Private Limited | Terminate | Low $3.9K Indian IT systems vendor; project-specific engagement; consolidate under primary engineering vendor. | Low; project work absorbable by primary engineering partner. | LOW |
| Sodexo Svc India Private Limited | Consolidate | Low $17.8K Indian employee meal voucher/benefits platform; consolidate Indian employee benefits under single provider; evaluate overlap with Pluxee India ($4K) and merge into one delivery mechanism. | LOW: employee voucher benefits manageable through consolidated provider. | LOW |
| Soho Kitchen Ltd | Terminate | De minimis $104 UK restaurant; one-time entertainment; not a vendor relationship. | No impact. | LOW |
| Solarwinds, Inc | Consolidate | De minimis $166 network monitoring tool; consolidate with primary IT monitoring/observability stack to eliminate redundant point solutions. | No impact at this spend level. | LOW |
| Spar Hrvatska D.O.O. | Terminate | Small $341 Croatian supermarket; one-time purchase; not a vendor relationship. | No impact. | LOW |
| Specijalisticka Ordinacija Medicine Rada Helena Blazic | Consolidate | De minimis $20 Croatian occupational medicine clinic; one of three overlapping occupational health providers; consolidate all three Croatian occupational health vendors under a single contract for simplified administration. | No impact; same service from consolidated provider. | LOW |
| Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos | Consolidate | De minimis $20 second Croatian occupational medicine clinic; consolidate with other two occupational health providers under single preferred clinic for all employees. | No impact; same service from consolidated provider. | LOW |
| Split Tech City | Terminate | Small $284 Croatian tech community sponsorship; one-time membership or event sponsorship; not a strategic vendor. | No impact. | LOW |
| Sport Vision D.O.O. | Terminate | De minimis $26 Croatian sportswear retailer; one-time purchase; not a vendor relationship. | No impact. | LOW |
| Sportkart D.O.O. | Terminate | Small $141 Croatian sports/entertainment; one-time team activity; not a vendor relationship. | No impact. | LOW |
| Sportska Udruga Split | Terminate | De minimis $66 Croatian sports association; one-time membership; not a strategic vendor. | No impact. | LOW |
| Ss&C Intralinks Inc | Consolidate | Low $40K virtual data room/deal management platform; consolidate VDR services with primary M&A advisory engagement (RSM UK, BDO) so that deal room costs are bundled within advisory scope. | MEDIUM: active deal/data room may have time-sensitive access requirements during M&A processes. | MEDIUM |
| Starhub Ltd (Supplier) | Consolidate | Low $2.2K Singapore telecom; consolidate with primary telecom vendors (Telefonica, Cloudcrossing) for unified connectivity management across regions. | Low; Singapore connectivity manageable through primary telecom. | LOW |
| Stillmark Zagreb D.O.O. | Terminate | Small $263 Zagreb vendor; one-time; not a vendor relationship. | No impact. | LOW |
| Stipe Piric | Terminate | Individual vendor in G&A at $2.3K; likely freelance or one-time service; terminate upon completion. | No material impact. | LOW |
| Streamlinereforms Inc | Terminate | Small $483 US legal/regulatory compliance service; one-time engagement; consolidate under primary legal counsel. | No impact. | LOW |
| Student Packers & Movers | Terminate | Small $371 Indian movers; one-time office relocation; not a strategic vendor. | No impact. | LOW |
| Studentski Centar - Split | Terminate | Low $8.3K Croatian student center; likely subsidized catering for employees; evaluate if a mandated benefit; otherwise terminate. | Low; employees can use alternative catering. | LOW |
| Studentski Centar Karlovac | Terminate | Low $1.5K Croatian student center; similar to Studentski Centar Split; evaluate mandatory benefit status; terminate if discretionary. | No impact. | LOW |
| Super Odrediste D.O.O. | Terminate | Small $378 Croatian vendor; one-time; not a vendor relationship. | No impact. | LOW |
| Susan Lee | Terminate | Individual vendor at $1.8K in G&A; likely freelance or one-time consulting; terminate upon work completion. | No material impact. | LOW |
